[2020-03-04 14:41:10,438] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:46:36,959] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:46:37,038] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:46:37,123] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:46:37,192] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:46:37,255] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:46:37,313] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:47:04,506] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:47:04,580] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:47:04,640] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:47:04,700] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:47:04,784] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:47:04,852] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
